Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Balatonmagyaród-Hídvégpuszta,1,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 2",Millet,Panicum miliaceum,40,NA,NA,NA,NA,NA,xxx,xx,NA
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 2",Pulses,Pulses,59.849999999999994,NA,NA,NA,NA,NA,xxxx,xxx,NA
Balatonmagyaród-Hídvégpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,0.15000000000000002,NA,NA,NA,NA,NA,x,x,NA
Börcs-Paphomlok,1,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 2",Cereals,Cereals,40.9,NA,NA,NA,NA,NA,xxx,xx,NA
Börcs-Paphomlok,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 2",Millet,Panicum miliaceum,46.9,NA,NA,NA,NA,NA,xxxx,xx,NA
Börcs-Paphomlok,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 2",Pulses,Pulses,0.5,NA,NA,NA,NA,NA,x,x,NA
Börcs-Paphomlok,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 2",Panicoideae,Wild plants/weeds,0.9,NA,NA,NA,NA,NA,x,x,NA
Börcs-Paphomlok,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,10.8,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Albertfalva-Kitérö út",1,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,21.5,NA,NA,NA,NA,NA,xx,x,NA
"Budapest, Albertfalva-Kitérö út",NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 2",Millet,Panicum miliaceum,15.7,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Albertfalva-Kitérö út",NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 2",Pulses,Pulses,0.62,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Albertfalva-Kitérö út",NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 2",Panicoideae,Wild plants/weeds,0.8,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Albertfalva-Kitérö út",NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,61.4,NA,NA,NA,NA,NA,xxxx,xxx,NA
Csanádpalota-Földvár,1,LBA,1400-700,Unknown,Hillfort Settlement,Szevérenyi 2015,Triticum monococcum,Triticum monococcum,3,NA,NA,NA,NA,NA,x,x,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Unknown,Hillfort Settlement,Szevérenyi 2015,Triticum dicoccon,Triticum dicoccum,1,NA,NA,NA,NA,NA,x,x,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Unknown,Hillfort Settlement,Szevérenyi 2015,Secale cereale,Secale cereale,0.3,NA,NA,NA,NA,NA,x,x,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Unknown,Hillfort Settlement,Szevérenyi 2015,Triticum aestivum,Triticum aestivum/durum,56.7,NA,NA,NA,NA,NA,xxxx,xxx,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Unknown,Hillfort Settlement,Szevérenyi 2015,Panicum miliaceum,Panicum miliaceum,27,NA,NA,NA,NA,NA,xx,xx,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Unknown,Hillfort Settlement,Szevérenyi 2015,Hordeum vulgare,Hordeum vulgare,7,NA,NA,NA,NA,NA,x,x,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Unknown,Hillfort Settlement,Szevérenyi 2015,Triticum compactum,Triticum compactum,3,NA,NA,NA,NA,NA,x,x,NA
Csanádpalota-Földvár,NA,LBA,1400-700,Unknown,Hillfort Settlement,Szevérenyi 2015,Triticum sp.,Triticum sp.,2,NA,NA,NA,NA,NA,x,x,NA
Dunakeszi-Székesdülö (Auchan),1,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,4,NA,NA,NA,NA,NA,x,x,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 2",Millet,Panicum miliaceum,5.9,NA,NA,NA,NA,NA,x,x,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 2",Gathered Plants,Gathered Plants,3.7,NA,NA,NA,NA,NA,x,x,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 2",Panicoideae,Wild plants/weeds,86.3,NA,NA,NA,NA,NA,xxxx,xxxx,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,0.2,NA,NA,NA,NA,NA,x,x,NA
Gór,1,LBA,1400-700,Unknown,Unknown,Szevérenyi 2015,Hordeum vulgare,Hordeum vulgare,4,NA,NA,NA,NA,NA,x,x,NA
Gór,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi 2015,Panicum miliaceum,Panicum miliaceum,1,NA,NA,NA,NA,NA,x,x,NA
Gór,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi 2015,Triticum aestivum,Triticum aestivum/durum,0.01,NA,NA,NA,NA,NA,x,x,NA
Gór,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi 2015,Triticum spelta,Triticum spelta,10,NA,NA,NA,NA,NA,x,x,NA
Gór,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi 2015,Triticum monococcum,Triticum monococcum,26,NA,NA,NA,NA,NA,xx,xx,NA
Gór,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi 2015,Triticum dicoccon,Triticum dicoccum,43,NA,NA,NA,NA,NA,xxxx,xx,NA
Gór,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi 2015,Triticum sp.,Triticum sp.,16,NA,NA,NA,NA,NA,x,x,NA
Gór-Kápolnadomb,1,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,90.8,NA,NA,NA,NA,NA,xxxx,xxxx,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 2",Millet,Panicum miliaceum,1.5,NA,NA,NA,NA,NA,x,x,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 2",Pulses,Pulses,0.8,NA,NA,NA,NA,NA,x,x,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 2",Oil/Fibre Crops,Oil/Fibre Crops,0.5,NA,NA,NA,NA,NA,x,x,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 2",Panicoideae,Wild plants/weeds,0.3,NA,NA,NA,NA,NA,x,x,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,6.2,NA,NA,NA,NA,NA,x,x,NA
Györ-Szabadrétdomb,1,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,75.2,NA,NA,NA,NA,NA,xxxx,xxxx,NA
Györ-Szabadrétdomb,NA,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 2",Millet,Panicum miliaceum,8.2,NA,NA,NA,NA,NA,x,x,NA
Györ-Szabadrétdomb,NA,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 2",Gathered Plants,Gathered Plants,8.5,NA,NA,NA,NA,NA,x,x,NA
Györ-Szabadrétdomb,NA,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,8.2,NA,NA,NA,NA,NA,x,x,NA
Hissar,1,LBA,1400-700,Unknown,Unknown,Szevérenyi 2015,Triticum aestivum,Triticum aestivum/durum,13,NA,NA,NA,NA,NA,x,x,NA
Hissar,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi 2015,Triticum spelta,Triticum spelta,18,NA,NA,NA,NA,NA,xx,x,NA
Hissar,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi 2015,Triticum monococcum,Triticum monococcum,19,NA,NA,NA,NA,NA,xx,x,NA
Hissar,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi 2015,Hordeum vulgare L. Hexastichum,Hordeum vulgare (other),50,NA,NA,NA,NA,NA,xxxx,xxx,NA
Hungary,1,LBA,1400-700,Gáva,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,265,NA,NA,NA,NA,xx,x,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Hordeum nudum,Hordeum nudum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Secale cereale,Secale cereale,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Triticum aestivum ssp. Compactum,Triticum compactum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Triticum aestivum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Triticum aestivum ssp. Spelta,Triticum spelta,NA,550.5,NA,NA,NA,NA,xxx,x,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Triticum monococcum,Triticum monococcum,NA,69,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Triticum turgidum ssp. Dicoccon,Triticum dicoccum,NA,25,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Panicum miliaceum,Panicum miliaceum,NA,4000,NA,NA,NA,NA,xxxx,xxxx,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Cicer arietinum (Chickpea),Pulses,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Lathyrus sativus,Lathyrus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Lens culinaris,Lens culinaris,NA,40,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Pisum sativum,Pisum sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Vicia faba,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Vicia sativa,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Canthamus tinctorius,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Chenopodium album (white goosefoot/ fat hen),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Cornus mas,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Corylus avellana,Corylus avellana,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Crataegus monogyna (single-seed hawthorn),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Malus silvestris (crab apple),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Prunus spinosa,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Pyrus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Quercus sp.,Quercus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Rubus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Sambucus ebulus,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,1,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,101,NA,NA,NA,NA,xx,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Hordeum nudum,Hordeum nudum,NA,16,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Secale cereale,Secale cereale,NA,20,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum aestivum ssp. Compactum,Triticum compactum,NA,8,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum aestivum,Triticum aestivum/durum,NA,19,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum aestivum ssp. Spelta,Triticum spelta,NA,162,NA,NA,NA,NA,xx,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum monococcum,Triticum monococcum,NA,11,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum turgidum ssp. Dicoccon,Triticum dicoccum,NA,35813,NA,NA,NA,NA,xxxx,xxxx,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Panicum miliaceum,Panicum miliaceum,NA,775,NA,NA,NA,NA,xx,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Cicer arietinum (Chickpea),Pulses,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Lathyrus sativus,Lathyrus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Lens culinaris,Lens culinaris,NA,32,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Pisum sativum,Pisum sp.,NA,134,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,990,NA,NA,NA,NA,xx,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Vicia faba,Vicia sp.,NA,2,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Vicia sativa,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Canthamus tinctorius,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Chenopodium album (white goosefoot/ fat hen),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Cornus mas,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Corylus avellana,Corylus avellana,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Crataegus monogyna (single-seed hawthorn),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Malus silvestris (crab apple),Gathered Plants,NA,12,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Prunus spinosa,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Pyrus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Quercus sp.,Quercus sp.,NA,2993,NA,NA,NA,NA,xxx,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Rubus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Papver somniferum,Papaver somniferum,NA,7,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Sambucus ebulus,Gathered Plants,NA,264,NA,NA,NA,NA,xx,x,NA
Hungary,1,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,143,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Hordeum nudum,Hordeum nudum,NA,2,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Secale cereale,Secale cereale,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum aestivum ssp. Compactum,Triticum compactum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum aestivum,Triticum aestivum/durum,NA,7,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum aestivum ssp. Spelta,Triticum spelta,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,4,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum monococcum,Triticum monococcum,NA,2,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum turgidum ssp. Dicoccon,Triticum dicoccum,NA,9,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Panicum miliaceum,Panicum miliaceum,NA,811,NA,NA,NA,NA,xxxx,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Cicer arietinum (Chickpea),Pulses,NA,0,NA,NA,NA,NA,0,0,NA
